cui,type,name
C0003732,arch,Archaea
C0018539,arch,Halobacteriaceae
C0025621,arch,Methanobacteria
C0039820,arch,Thermoplasma
C0085458,arch,Sulfolobus
C0085522,arch,Methanobacteriaceae
C0085523,arch,Methanobacterium
C0085526,arch,Methanococcus
C0085527,arch,Methanomicrobiales
C0085529,arch,Methanosarcina
C0085530,arch,Methanosarcina barkeri
C0086382,arch,Haloarcula marismortui
C0524777,arch,"Halophiles, Extreme"
C0524822,arch,Euryarchaeota
C0524829,arch,Archaeoglobus fulgidus
C0524830,arch,Haloarcula
C0524831,arch,Crenarchaeota
C0524833,arch,Halobacterium salinarium
C0524841,arch,Haloferax volcanii
C0524845,arch,Thermoproteus
C0524918,arch,Pyrococcus
C0524919,arch,Thermococcus
C0597902,arch,Thermotoga
C0599690,arch,thermophilic bacteria
C0600435,arch,Pyrococcus furiosus
C0872384,arch,hyperthermophile
C0995875,arch,Methanobrevibacter smithii
C0995882,arch,Methanothermus fervidus
C0995888,arch,Methanocaldococcus jannaschii
C0995893,arch,Methanoculleus marisnigri
C0995897,arch,Methanospirillum hungatei
C0995900,arch,Methanosarcina thermophila
C0995914,arch,Natronomonas pharaonis
C0995917,arch,Thermococcus litoralis
C0995919,arch,Thermoproteus tenax
C0995924,arch,Staphylothermus marinus
C0995927,arch,Sulfolobus solfataricus
C0995938,arch,Thermoplasma acidophilum
C0995947,arch,Methanopyrus kandleri
C1000891,arch,Natrialba magadii
C1000892,arch,Pyrobaculum aerophilum
C1012319,arch,Methanoculleus
C1016081,arch,Haloarcula hispanica
C1024360,arch,Natrialba
C1062629,arch,Natrialba aegyptia
C1069943,arch,Methanothermobacter thermautotrophicus
C1070697,arch,Halorhabdus utahensis
C1080745,arch,Sulfolobus sp.
C1194220,arch,Nanoarchaeum equitans
C1208473,arch,Archaeoglobi
C1215394,arch,Nanoarchaeota
C1217481,arch,Methanocaldococcus
C1651175,arch,Nitrosopumilus maritimus
C2313605,arch,Ignicoccus hospitalis
C2313875,arch,Thermococcus onnurineus
C2614859,arch,Haloterrigena hispanica
C3775325,arch,Candidatus Methanomassiliicoccus intestinalis
C4004575,arch,Methanobacterium aggregans
C4112163,arch,MCG-1
C4160503,arch,Methanosarcina flavescens
C4429646,arch,methanogenic archaeon
