cui,type,name
C0010222,famg,Couples (persons)
C0011011,famg,Daughter
C0015341,famg,Extended Family
C0015576,famg,Family
C0015671,famg,Father (person)
C0020052,famg,Households
C0026591,famg,Mother (person)
C0026753,famg,Multiple Birth Offspring
C0028574,famg,Nuclear Family
C0029039,famg,Is an only child
C0030551,famg,parent
C0037047,famg,Sibling
C0037683,famg,Son (person)
C0041095,famg,Triplet Multiple Birth
C0041427,famg,Twin sibling (person)
C0041432,famg,Monozygotic twins
C0080103,famg,Relative (related person)
C0086279,famg,Family Caregivers
C0086282,famg,Family member
C0162409,famg,spouse
C0242664,famg,husband
C0242665,famg,wife
C0260096,famg,parent and child
C0337471,famg,grandparent
C0337489,famg,Foster mother
C0337491,famg,Single mother
C0337494,famg,Natural father
C0337500,famg,Single father
C0337505,famg,Half-sibling
C0337514,famg,Sister
C0337527,famg,Brothers
C0337534,famg,Twin brother
C0337541,famg,adopted child
C0337547,famg,Younger child
C0337554,famg,Stepdaughter
C0337573,famg,Grandson
C0337577,famg,Uncle
C0337580,famg,Cousin
C0680034,famg,family structure
C0680063,famg,Offspring
C0682323,famg,Partner in relationship
C0683572,famg,Adult Children
C0870134,famg,ancestors
C0871736,famg,expectant mothers
C0920598,famg,multiplet
C1266852,famg,Biological Relative
C1273526,famg,Distant relative
C1274041,famg,Guardian
C1313913,famg,Singleton
C1517194,famg,First Degree Relative
C1548348,famg,Next of Kin
C1553711,famg,Brother-in-law
C2349972,famg,Mother-in-law
C3274946,famg,Decedent
C3844027,famg,Child 7
C3844029,famg,Child 5
C3844032,famg,Child 2
C4053457,famg,Surrogate
