cui,type,name
C0000869,plnt,Acacia
C0002022,plnt,Alfalfa
C0002032,plnt,Chlorophyta
C0002033,plnt,Rhodophyta
C0002125,plnt,Allium
C0002168,plnt,Aloe
C0003625,plnt,Genus Malus
C0003946,plnt,Asafoetida
C0004047,plnt,Dryopteris
C0004755,plnt,Hordeum
C0006135,plnt,Brassica
C0006622,plnt,Cacao Plant
C0006932,plnt,Capsicum
C0007335,plnt,Manihot esculenta
C0007336,plnt,Cassia
C0007341,plnt,Ricinus communis
C0008155,plnt,Chlamydomonas
C0008190,plnt,Chlorella
C0008720,plnt,Chrysanthemum
C0008802,plnt,Cinnamomum verum
C0009169,plnt,Coca
C0009210,plnt,Cocos nucifera
C0009263,plnt,Colchicum
C0010028,plnt,Zea mays
C0010196,plnt,Gossypium
C0010197,plnt,Cottonseed
C0010283,plnt,Crataegus
C0012252,plnt,Genus: Digitalis
C0015148,plnt,Eucalyptus
C0015920,plnt,Ferula
C0017102,plnt,Allium sativum
C0017987,plnt,Glycyrrhiza
C0018210,plnt,Poaceae
C0019240,plnt,Herb
C0022386,plnt,Jerusalem Artichoke
C0023263,plnt,Fabaceae
C0023753,plnt,Flax
C0023969,plnt,Lolium (plant)
C0025125,plnt,Medicinal Herbs
C0030348,plnt,Papaver
C0030736,plnt,Arachis hypogaea
C0031357,plnt,Phaseolus
C0032088,plnt,Plant product
C0032094,plnt,Plantago major
C0032098,plnt,Plants
C0032100,plnt,"Plants, Medicinal"
C0032101,plnt,"Plants, Toxic"
C0032335,plnt,Podophyllum
C0032385,plnt,Pollen
C0032503,plnt,Polygonum
C0033734,plnt,Prototheca
C0034246,plnt,Pyrethrum (plant)
C0034670,plnt,Brassica rapa
C0035431,plnt,Rheum
C0035510,plnt,Toxicodendron
C0035853,plnt,Rosa
C0036563,plnt,Plant seeds
C0040811,plnt,Trees (plant)
C0042281,plnt,Valerian
C0042785,plnt,Mistletoe
C0060207,plnt,Trigonella foenum-graecum
C0077273,plnt,Tripterygium wilfordii
