cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007009,C0035950,PART_OF,Carbon,Ruminants,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0011744,C0026809,PART_OF,Deuterium,Mus,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0022023,C0007450,PART_OF,Ions,Felis catus,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0022023,C0034693,PART_OF,Ions,Rattus norvegicus,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0023031,C0026809,PART_OF,Lanthanum,Mus,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0025424,C0034700,PART_OF,Mercury,"Rats, Inbred BN",elii,mamm,1,PART_OF_ELIIprtfMAMM
C0031705,C2699239,PART_OF,Phosphorus,"SD, Rat Strain",elii,mamm,1,PART_OF_ELIIprtfMAMM
C0033727,C0039005,PART_OF,Protons,Family suidae,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0039411,C0025920,PART_OF,Technetium,"Mice, Inbred C3H",elii,mamm,1,PART_OF_ELIIprtfMAMM
C0303384,C2699239,PART_OF,Calcium-47,"SD, Rat Strain",elii,mamm,1,PART_OF_ELIIprtfMAMM
C0567415,C0032636,PART_OF,Atom (substance),Pongidae,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0597277,C0026809,PART_OF,Potassium Ion,Mus,elii,mamm,1,PART_OF_ELIIprtfMAMM
C0700308,C0034693,PART_OF,Protium,Rattus norvegicus,elii,mamm,2,PART_OF_ELIIprtfMAMM
C2346661,C0008139,PART_OF,Pb2+,Chiroptera,elii,mamm,1,PART_OF_ELIIprtfMAMM
C2346661,C0025914,PART_OF,Pb2+,House mice,elii,mamm,1,PART_OF_ELIIprtfMAMM
C2346661,C0026809,PART_OF,Pb2+,Mus,elii,mamm,6,PART_OF_ELIIprtfMAMM
C2346661,C0033147,PART_OF,Pb2+,Primates,elii,mamm,1,PART_OF_ELIIprtfMAMM
C2346661,C0085979,PART_OF,Pb2+,Cavia,elii,mamm,1,PART_OF_ELIIprtfMAMM
