cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0002371,COMPARED_WITH,Immunologic Adjuvants,Aluminum Hydroxide,imft,inch,2,COMPARED_WITH_IMFTcpwtINCH
C0001551,C0051522,COMPARED_WITH,Immunologic Adjuvants,aluminum sulfate,imft,inch,2,COMPARED_WITH_IMFTcpwtINCH
C0003316,C0051522,COMPARED_WITH,Epitopes,aluminum sulfate,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0003320,C0051522,COMPARED_WITH,Antigens,aluminum sulfate,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0016712,C0002371,COMPARED_WITH,Freund's Adjuvant,Aluminum Hydroxide,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0021403,C0051522,COMPARED_WITH,Influenza virus vaccine,aluminum sulfate,imft,inch,2,COMPARED_WITH_IMFTcpwtINCH
C0042210,C0002371,COMPARED_WITH,Vaccines,Aluminum Hydroxide,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0042210,C0051522,COMPARED_WITH,Vaccines,aluminum sulfate,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0042210,C0733770,COMPARED_WITH,Vaccines,Alhydrogel,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0042212,C0030015,COMPARED_WITH,"Vaccines, Inactivated",Oxides,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0376613,C0051522,COMPARED_WITH,"Vaccines, DNA",aluminum sulfate,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
C0770694,C0051522,COMPARED_WITH,trivalent influenza vaccine,aluminum sulfate,imft,inch,2,COMPARED_WITH_IMFTcpwtINCH
C1291777,C0002055,COMPARED_WITH,Protein antigen,Alkalies,imft,inch,1,COMPARED_WITH_IMFTcpwtINCH
